,company,description,exp,loc,salary,skills
231, Wipro Limited  3.7(3812 reviews)   ,,3,Bengaluru,,"['Ab Initio, big data, Programming, Manager Technology, Mentor...']"
232, Wipro Limited  3.7(3812 reviews)   ,,3,Pune,,"['Teradata, RDBMS, Unix shell scripting, Ab Initio, big data, Web services...']"
233, Wipro Limited  3.7(3812 reviews)   ,,5,Pune,,"['Teradata, RDBMS, Agile, Unix shell scripting, Ab Initio, big data...']"
234, Ernst Young  3.8(860 reviews)   ,BE / B.Tech / MCA / MSc / MBA with a sound industry experience of 2 to 5 years of hands  -  on in ETL ...,2,Bengaluru,,"['Python, Six Sigma, .NET, HTML, JavaScript, SQL, Oracle,', 'assembly language,...']"
235, Vodafone India Limited  4.2(2058 reviews)   ,,3,Pune,,"['Technical product configuration, design, integration PHP, MySQL, HTML, C...']"
236, EYGBS (INDIA) LLP  ,BE/B.Tech/MCA/MSc/MBA with a sound industry experience of 6+ years of hands-on in ETL testing and ...,6,Bengaluru,,"['Oracle SQL, Unix, Selenium Webdriver, Power Bi, Automation Testing...']"
237, JP Morgan Chase  4.1(564 reviews)   ,"Less than 50\% travel may be required to work on projects at various, unanticipated sites throughout the ...",0,"Hyderabad, Hyderabad",,"['technology, finance, operations, human resources']"
238, Dell International Services India  Private Limited  4.1(468 reviews)   ,,2,Hyderabad,,"['PMP, Project management, Oracle, Unix, SAP, Linux, MySQL, Perl, Db2...']"
239, Maveric Systems Limited  3.7(46 reviews)   ,-3-5 yrs of ETL Testing Experience using TALEND Data Integration tool;Well versed with the Data flow and ...,3,"Bengaluru, Chennai",,"['ETL Testing, Unix Shell Scripting, SQL Server, DWH Testing...']"
240, Syntel Private Limited  ,,3,Chennai,,"['Oracle Financials, Oracle Financial Functional Consultant']"
241, Newt Global  ,,3,Not specified,,"['SQL, Unix, Shell scripting, Teradata, Ab Initio, Performance tuning...']"
242, Dell International Services India  Private Limited  4.1(468 reviews)   ,,1,Bengaluru,,"['Oracle, Unix, Linux, Informatica, Teradata, Business intelligence...']"
243, JPMorgan Chase  4.0(573 reviews)   ,,6,Hyderabad,,"['PLSQL, Teradata, Ab Initio, SDLC, Agile, Coding, Scrum, Analytics, Business...']"
244, Vodafone India Limited  4.2(2058 reviews)   ,,5,Pune,,"['Telecom, Ticketing, Data modeling, Teradata, Test cases, Ab Initio...']"
245, JPMorgan Chase  4.0(573 reviews)   ,,1,Hyderabad,,"['SQL, Informatica, Automation, Ab Initio, Application development, Agile...']"
246, Wipro InfoTech  3.8(980 reviews)   ,,3,Gurgaon,,"['Telecom, Service, Module, English language, Ab Initio, Language skills...']"
247, JP Morgan Chase  4.1(564 reviews)   ,"The candidate must be a highly-motivated individual and must be able to handle a high volume of work, be ...",0,"Bengaluru, Bangalore East",,"['technology, finance, operations, human resources']"
248, JP Morgan Chase  4.1(564 reviews)   ,1+ years experience in   Developing monitoring tools and log analysis tools to manage operations ...,0,"Hyderabad, Hyderabad",,"['technology, finance, operations, human resources']"
249, JP Morgan Chase  4.1(564 reviews)   ,Good understanding on GemFire cache and web services build on top Strong knowledge of ETL tool and batch ...,0,"Bengaluru, Bangalore East",,"['technology, finance, operations, human resources']"
