,company,description,exp,loc,salary,skills
100, Premium  ,"- Candidate must have five+ (5+) years of recent hands-on experience with Ab Initio ETL tool, SQL, UNIX ...",4,"Delhi NCR, Bengaluru, Chennai, Noida",,"['Abinitio Developer, BI / DW, Abinitio, ETL, Data Store, Data Warehouse...']"
101, JP Morgan Chase  4.1(564 reviews)   ,"This role requires a wide variety of strengths and capabilities, including:  Advanced knowledge of ...",0,"Mumbai, Mumbai",,"['technology, finance, operations, human resources']"
102, Citibank  N.A  4.2(154 reviews)   ,Functional experience in the liquidity risk domain of 5 - 7 years;Overall experience required for the ...,5,Pune,,"['Ab Initio, Debugging, Test cases, Data analysis, Monitoring, Front end...']"
103, Citibank  N.A  4.2(154 reviews)   ,Experience in preparing meeting decks and driving presentations;Experience in preparing meeting decks ...,10,Pune,,"['Ab Initio, Data analysis, Monitoring, Front end, Loans, business rules...']"
104, Virtusa Consulting Services Pvt Ltd  ,,4,Chennai,,"['Ab Initio, Generic Graphs, Continuous Flows Graphs, Metadata, Abinitio']"
105, Virtusa Consulting Services Pvt Ltd  ,,4,"Hyderabad, Pune",,"['Ab Initio, Generic Graphs, Continuous Flows Graphs, Metadata, Abinitio']"
106, Maveric Systems Limited  3.7(46 reviews)   ," *	Experience in testing ...",7,Bengaluru,,"['"" ; ETL Testing"" ;', ' Unix, Ab Initio, informatica, datastage...']"
107, Cognizant Technology Solutions India Ltd  3.8(5260 reviews)   ,Candidate having hands on experience in Abinito ...,6,Hyderabad,,"['Abinitio Professional, Abinitio, Abinito Development']"
108, Syntel Private Limited  ,,11,Pune,,"['Abinitio, Architect']"
109, Talent HR Networks Pvt Ltd  ,Candidate must possess solid understanding of data warehousing dimensional design patterns and ...,3,"Chennai, Hyderabad",1200000,['Ab Initio']
110, ILABZ TECHNOLOGY LLP  ,Experience: 3 + Yrs;Notice period :Immediate only (Less than 10 days);Total Experience:;Relevant ...,3,Bengaluru,,"['ab initio, Abinitio']"
111, Allegis Services India Pvt. Ltd.  ,,4,Pune(Yerwada),,"['Ab Initio, Continuous Integration, Pdl, Shell Scripting, Web Services...']"
112, Peoplefy Infosolutions Pvt. Ltd.  ,Provide best customer experience on service performance due to regular system reviews and pro-active ...,10,Pune,,"['Ab Initio, teradata, architect, abinitio']"
113, BCT Consulting Private Limited  ,Good knowledge in Hadoop file storage and processing the files through ab initio environment; 5 ...,5,Chennai,,"['Unix Shell Scripting, Ab Initio, ETL Tool, Data Modeling, Database Design...']"
114, Kelly Outsourcing and Consulting Group India  Private Limited  3.9(44 reviews)   ,"Sr.Consultant with 4-6years of development experience in AbInitio, Oracle SQL, PL/SQL, and Unix ...",4,Bengaluru(Bellandur),1200000,"['unix scripting, oracle sql, data warehousing, pl, plsql, autosys, ab initio...']"
115, Peoplefy Infosolutions Pvt. Ltd.  ,,5,Pune,1400000,"['Ab Initio, unix, Teradata, gde']"
116, BCT Consulting Private Limited  ,Minimum 6+ years of Application Development work experience using Ab Initio as the ETL tool;Solid ...,5,Mumbai,1200000,['Ab Initio']
117, Varite India Pvt. Ltd.  3.8(11 reviews)   ,Abinitio Developer Teradata/Oracle/SQL (Any one DB skill is Mandatory) Very Strong in Macros/SQL ...,6,Bengaluru,,"['Oracle SQL, Ab Initio, Teradata, Control - M, Macros, abinitio...']"
118, Varite India Pvt. Ltd.  3.8(11 reviews)   ,Experience Level: 6 to 12 Years;Experience working in Agile Scrum(preferred);Total Experience:;Relevant ...,6,"Bengaluru, Hyderabad",1800000,"['ab initio, teradata, control - m, Oracle']"
119, Macropace Technologies  ,Experience: 8+yrs;8+yrs of experience;Should have experience on Abinitio developer ;Should have ...,8,Bengaluru,1300000,"['Ab Initio, ETL, DEVELOPER']"
120, Nisum Consulting Pvt. Ltd  ,Should have experience in writing business validation test cases and performing ETL testing;5-8 years of ...,5,Pune,,"['SQL Queries, Unix Shell Scripting, ETL Tool, Data Integration, Teradata, Ab...']"
